Logo,Nom,Secteur,Année de création,Label Date,Site web,Résumé,Founders,Courriel,Téléphone
undefined,WKF par FLEXITEK,HealthTech,2020,Feb-21,,"WKF est un logiciel métier destiné aux agences de communication, aux agences marketing et aux web agencies, construit autour d'automates qui guide l’utilisateur dans son processus métier.",Alexandre FLORESMohamed JOMAA,n.a.,n.a.
undefined,ContyFind,Business Software and services,2023,Apr-23,,null,Aymen SarrajMaan mrabetHassen Tahri,n.a.,n.a.
undefined,energy expert team company,Environment,2022,Aug-22,,"La société ETCO propose des solutions d’efficacité énergétique pour le secteur commercial (showroom, magasin, centre commercial).Notre système de contrôle de l’éclairage commercial  permet de minimiser le gaspillage énergétique et analyser le comportement des clients dans les magasins grâce aux capteurs intégrés dans les points lumineux existants dans l’espace commercial",Mohamed BouhlelMOHAMED ANOUAR BRINIali mekni,etco.energie@gmail.com,22070621
undefined,Compaktor,Business Software and services,2020,Aug-21,,"Compaktor (COMmercial-PACK) est une e-Solution complète de gestion commerciale dédiée aux PME. Un pack de modules SAAS (Gestion du Stock, Gestion des Achats et Ventes, Gestion de la Trésorerie, Gestion des Utilisateurs et droits d'accès, Statistiques, e-boutique,etc..)",Mohamed Amine OmraniAli Mansour,n.a.,n.a.
undefined,Nkawroo,Wellness,2020,May-21,,Nkawroo est une plateforme web et mobile qui permet à des sportifs amateurs de réserver en ligne des terrains de sport,Kais Malki,n.a.,n.a.
undefined,Tunisia Baits,Agritech,2019,Mar-23,,"Tunisia Baits est la première startup en biotech en Tunisie, Afrique et bassin méditerranéen, nous avons mis en place une nouvelle technologie pour la production des vers marins utilisés pour:
 -appâts pour les pêcheurs
 -aliment durable pour les fermes aquacoles
 -de-pollueurs naturels des sols marins contaminés en métaux lourds",Ahmed MalekMarwen Mokdad,mokdadmarwen@gmail.com,24371780
undefined,WattyGo : Founisseur 100% Tunisien de solutions intelligentes de recharge pour Véhicules Electriques,Mobility,2025,Oct-25,,null,Haithem Belmabroukkhaled FOURATIMondher Makni,n.a.,n.a.
undefined,My Enlightened Mind,EdTech,2020,May-21,,"My Enlightened Mind est spécialisée dans le développement, la création et la fabrication des jeux et jouets éducatifs et interactifs",Oussama Ben MahmoudAdem Abidi,n.a.,n.a.
undefined,Wattnow,Consumer products and services,2018,May-19,,"Wattnow propose une solution IoT de monitoring et de controle d’électricité, qui permet aux entreprises de réduire le gaspillage et améliorer leur efficacité énergétique",Issam Smaali,n.a.,n.a.
undefined,SAMM TEST & AUTOMATION,Advanced Manufacturing & Robotics,2013,Dec-19,,"Fabrication de machines et de systèmes de tests sur mesures, réalisation de machines standard pour le test des cartes à LED pour le secteur automobile.",Mohamed AnaneSofiene GratiAmor MegadminiMahdi Kamoun,n.a.,n.a.
undefined,ECHO,Business Software and services,2018,Jun-19,,ECHO innove dans le domaine digital autour d'une plateforme en ligne garantissant le dessin et certification des aménagements cabines des avions.,Amine Laaroussi,n.a.,n.a.
undefined,DourbIA,TravelTech,2024,Jun-24,,null,Ines Hassoumi,n.a.,n.a.
undefined,SmartQ,Business Software and services,2021,Mar-21,,"SmartQ est un système de gestion des files d'attente (QMS) basé sur le cloud qui permet aux entreprises confrontées à des problèmes de gestion des files d'attente de mieux gérer le flux de leurs clients. Il permet aux personnes de rejoindre une file d'attente à distance, de n'importe où et à tout moment.",Ramzi Zelfani,n.a.,n.a.
undefined,Allô Réparateur,Commerce and shopping,2020,Jul-20,,Allo Réparateur est spécialisé dans la réparation de tous types d’appareils électroniques domestiques et industriels avec un réseau de laboratoires sur toute la Tunisie.,Aymen BouchouchaMohamed Saïd El Behi,n.a.,n.a.
undefined,Takwira,Wellness,2021,Sep-21,,"Takwira est une application mobile qui permet de trouver une équipe avec laquelle jouer. Réservation de terrains de football, inscription aux académies, organisation de tournois pour universités, associations, clubs...",Zied DahmaniAmen Allah Dahmani,n.a.,n.a.
undefined,Dlilek,Consumer products and services,2021,Jan-22,,Dlilek est une plateforme de mise en relation ciblée entre professionnels et clients tout en leur proposant divers services dans le but de faciliter leurs quotidiens.,Moussa Tajouri Chourouk Attig,n.a.,n.a.
undefined,Hand & Crafts,Commerce and shopping,2019,Jun-20,,"Hand&Crafts est une plate-forme de commerce électronique qui met en valeur le travail des femmes rurales tunisiennes et propose une très large gamme de produits artisanaux à savoir la vaisselle, les bijoux, les tapis, la céramique, la décoration intérieure et le textile.",Asma BayouliAmeni Ben Hmida,n.a.,n.a.
undefined,Vectors Software,Business Software and services,2022,Nov-22,,Vectors Software développe des Applications pour enrichir les outils Atlassian tels que JIRA et Confluence,Melek JebnounSofien Chaabouni,contact@covectors.io,n.a.
undefined,Evolutik,Ad Tech and Creative Tech,2020,Dec-20,,"Evolutik développe une solution d’e-Ticketing EazyTick et un module d’IA. Evolutik souhaite apporter des solutions évolutives et adaptées pour la digitalisation au service de la culture, du sport et de l’événementiel.",Mourad MathariMaya MathariMélik Mathari,n.a.,n.a.
undefined,bqube,Business Software and services,2017,May-22,,"BQube ITs est une start-up spécialiste en Industrie4.0. Elle offre la solution QMES en mode SAAS (Software as a Service) exploitable au sein ou en dehors de la structure (accessible de partout), qui permet une gestion et un contrôle h24 du déroulement des activités. Afin de permettre les entreprises industrielles de maîtriser tous les détails du processus de production qui ont un impact négatif sur l'efficacité et la qualité de leurs opérations QMES 4.0 a été conçu pour: - Avoir une meilleure gestion du flux de l'usine - améliorer les pertes de performance, de qualité et de disponibilité -Faire le suivi de l'usine en temps réel. -Analyser le rendement et l'identification des problèmes",Mohamed Abed BechiriMohamed SaidiSamia Saaidia,b.contact@bqubeits.com,70146565
undefined,Exacctly,Business Software and services,2020,Jun-20,,DataSphera développe des produits et des solutions NLP et IA d'entreprise pour l'analyse en temps réel des conversations échangées avec les clients.,Noureddine LoukiAchref Kechaou,n.a.,n.a.
undefined,Ailine Pro,Business Software and services,2024,Nov-24,,null,Ines Achourchtourou saifNadra Achour,n.a.,n.a.
undefined,MajestEYE,Business Software and services,2017,Jun-19,,MajestEYE est un éditeur de solutions d'analyse de données dont la mission est de permettre à ses clients de réussir la transition vers un modèle opérationnel et d'affaires basés sur les données.,Jihed HannachiRabie Saidi,n.a.,n.a.
undefined,Smart Detection,Environment,2022,Feb-22,,Smart Detection est un système intelligent de détection de fuite dans les conduites d'eau avec le suivi à distance et à temps réel.,Manel Elleuchi,n.a.,n.a.
undefined,Autoprix.tn,Commerce and shopping,2020,Dec-20,,"Autoprix.tn est un comparateur, estimateur de cote voiture occasion et dashboard d'analyse du marché automobile. Inspection, accompagnement et vente de voiture occasion.",Tarek Ben SassiMohamed Amine Ben Sassi,n.a.,n.a.
undefined,rahba.tn,Agritech,2017,Aug-19,,Rahba.tn est un espace en ligne dédié aux professionnels de l’industrie agricole. On peut y trouver tous les produits et équipements neufs ou d'occasion.,Mahmoud Aboulrob,n.a.,n.a.
undefined,iMMOTECH,Business Software and services,2020,Feb-21,,iMMOTECH offre une solution pour vendre les projets immobiliers à travers des outils de commercialisation et de marketing exclusifs et uniques,Cyrine Ben AyedAndolsi JihedYassine JalloulMohamed Raafet Limam,n.a.,n.a.
undefined,WareCom,Consumer products and services,2019,Jan-20,,WareCom propose un produit IoT pour la localisation et la tracabilite d'etat des conteneurs lors de transport maritime.,Hamza SaidNour AbbousAli Saidi,n.a.,n.a.
undefined,REM4U,TravelTech,2022,Aug-22,,"Organisation de la mobilité aéroportuaire et collecte, traitement et partage des donnée du voyage",ANOUAR KANZARINedya kanzariMayssa Ben kahlajlassi waelaymen sellaoutiDalel KanzariAbdelmonem TliliMohamed Ali Toumi,n.a.,n.a.
undefined,ProvenMed,HealthTech,2019,Nov-19,,ProvenMed Devices a dévelopé un dispositif innovant destiné aux patients souffrant d'incontinence urinaire,Souheil GuessoumAmine StaaliAhmed Boughaleb,n.a.,n.a.
undefined,Ste Tildah,Business Software and services,2018,May-21,,"Majenna est une application de caisse enregistreuse connecté, qui permet à toute l'équipe d'une enseigne constituée d'une ou plusieurs boutiques d'avoir les données synchronisées en temps réel.",Bouraoui Ben Ammar,n.a.,n.a.
undefined,Arsek Dripbox,Agritech,2024,Feb-24,,Arsek DripBox est une solution d'irrigation innovante qui contribue à la lutte contre le changement climatique en optimisant l'utilisation de l'eau pour les agriculteurs.,Mohamed Haj AbdallahKais Oueslati,n.a.,n.a.
undefined,Provectus Technology,Advanced Manufacturing & Robotics,2021,Oct-21,,"Provectus est un SCADA pour les installations photovoltaïques, construit autour d’un noyau d’intelligence-artificielle, exploitant la technologie :IoT, pour optimiser la performance et l'efficacité de l’énergie-solaire",Kamel JemliDhia JemliMonji Jemli,n.a.,n.a.
undefined,Lait Espoir,Agritech,2021,Sep-21,,"Lait Espoir se spécialise dans la création de solutions informatiques en agriculture, précisément l'élevage bovin laitier.",Hayfa KHALFAOUI,n.a.,n.a.
undefined,FINRA Ltd,Advanced Manufacturing & Robotics,2021,Aug-21,,FINRA Ltd est spécialisée dans la valorisation des articles électronique vintage.,Ons El GaiedAmir Farah,n.a.,n.a.
undefined,GoFields,Wellness,2019,Mar-20,,GoFields est une plateforme mobile et web de mise en relation entre les complexes de sports avec les pratiquants de sports.,Yusuf Sherif,n.a.,n.a.
undefined,Coursesgolf,Commerce and shopping,2020,May-20,,Coursesgolf est une plateforme destinée à tous les passionnés du golf afin de réserver leurs parcours partout dans le monde.,Assil Talmoudi,n.a.,n.a.
undefined,Avidea,Business Software and services,2017,Apr-20,,Nous aidons les compagnies d'assurance à réduire le coût de sinistre automobile en leur offrant une plateforme logicielle de digitalisation de sinistre automobile et de lutte contre la fraude,Jaafar NasriAnis Safraoui,n.a.,n.a.
undefined,South fruits Agri,Agritech,2017,Jan-24,,"SFA est une entreprise de production et de commercialisation des dattes et dérivés installée principalement à Kébili. Ona créée une plateforme de commerce internationale en ligne de produits agricoles et de leur dérivés. Cette Marketplace sera alimentée par des produits écologiques qui proviennent d'agriculteurs, artisans et autres startups partenaires.",Thouraya Rajah,administration@south-fruits.com,95387739
undefined,Odacel,Consumer products and services,2018,Jul-20,,"Atseeone, la solution apportée par Odacel, est un ensemble de module applicatif conçu selon les concepts micro-services permettant la gestion optimisée de la flotte.",Mohamed Salah KarouiaAbdeljalil KarouiaSlim OuichtatiMourad KarouiaMohamed Selim Bessi,n.a.,n.a.
undefined,Club privilèges,Commerce and shopping,2017,Jan-20,,Le club privilèges est une plateforme de fidélité basée sur la récompense permettant à ses utilisateurs de bénéficier de remises permanentes chez plus de 300 partenaires.,Issam EssefiImededdine EssafiIheb Beji,n.a.,n.a.
undefined,Neoshop,Commerce and shopping,2015,Nov-19,,Neoshop est un site e-commerce de prêt-à-porter qui a pour vision de faire de la technologie son point fort permettant de faire la différence,Donia FayachAhmed Nsiri,n.a.,n.a.
undefined,Animadop,Communication services,2020,Nov-20,,Animadop est une plateforme sociale autour des animaux de compagnie en Tunisie qui regroupe les passionnés et les professionnels des animaux tunisiens,khalil ben saidFatma Essafi,n.a.,n.a.
undefined,NIWEES,Commerce and shopping,2019,Aug-19,,Niwees est une application mobile spécialisée en marketing digital.,Abdallah NAJAH,n.a.,n.a.
undefined,Luceor Labs,Communication services,2021,Dec-21,,Réseaux sans fil résilients et sécurisés pour les applications outdoor mobiles grâce aux nouvelles solutions Xtramesh.,Mohamed Tlich,n.a.,n.a.
undefined,Alfikr,EdTech,2020,Feb-21,,JustPublish est une société spécialisée dans l’édition numérique ayant pour but de promouvoir la production scientifique,Brahim Jrah,n.a.,n.a.
undefined,AvoConsulte,Business Software and services,2022,Apr-22,,Avoconsult est une plateforme simple et rapide pour prendre rendez-vous avec un avocat disponible près de chez vous depuis l'annuaire des avocats pour répondre à vos besoins,Alaa Edinee Ben Mbarek,n.a.,n.a.
undefined,Resa Privee,TravelTech,2015,Apr-20,,MarketPlace autour autour du Tourisme Alternatif et de la Culture avec une plateforme de réservation d'activités,Khaled AouijAbir Fares,n.a.,n.a.
undefined,WAMIA,Commerce and shopping,2017,Dec-20,,"WAMIA est une marketplace présentant un service aux commerçants pour la vente directe de leurs produits, fournir l’expédition et les services annexes aux clients en Tunisie.",Abderrazak AlouiAli CherifAmir Rekhaies,n.a.,n.a.
undefined,Chosa,Business Software and services,2021,Dec-21,,CHOSA est une plateforme qui permet au parent de suivre la journée de leur enfant et de réagir à temps et en outre aux parents de communiquer plus aisément avec les animatrices ou directeurs grâce au réseau social dédié.,Walid Mansia,n.a.,n.a.
undefined,xscan,Business Software and services,2024,Apr-24,,null,houssem eddine rammehOussama Ben WahibaAbderrahim Gdah,n.a.,n.a.
undefined,Arcana Soft,Advanced Manufacturing & Robotics,2023,Sep-24,,"Arcana Soft est une Startup technologique innovante basée en Tunisie, spécialisée dans les solutions de gestion pour l'industrie. Nous avons développé Arckium GMAO, une solution de maintenance  orientée vers l'industrie 4.0. Cette plateforme intègre l'IoT, l'intelligence artificielle et le cloud pour optimiser la gestion des actifs, anticiper les pannes et réduire les coûts de maintenance en temps réel.",Mohamed Yassine BoumedienSofien Jerfel,contact@arcana-soft.com,21623608647
undefined,HISTORIAR,Ad Tech and Creative Tech,2019,Nov-19,,"HistorIAR s'appuie sur l'intelligence artificielle et la réalité augmentée pour proposer une application mobile de ""visites immersive augmentées"" aux visiteurs des sites archéologiques et patrimoniaux",Houda BakirJihed Makni,n.a.,n.a.
undefined,Birou,Business Software and services,2021,Sep-21,,"Birou est une plateforme intelligente de facturation professionnelle en ligne pour gérer les factures de ventes et d'achats, devis, clients, paiements.",Chaibi AlaaBoumiza Imen,n.a.,n.a.
undefined,SLAMA DATTES,FoodTech & New Food,2017,May-20,,Dates for All / Dattes pour tout le monde:                              Vente des dattes Farcies avec pâtes d'amande et fruits secs dans des coffrets cadeaux par commerce électronique.,Abdelkader Slama,n.a.,n.a.
undefined,KHEER,Agritech,2018,Jan-20,,APTYX est une startup spécialisée dans la fabrication des cartes électroniques assemblées.                              Elle propose des solutions IOT pour l'agriculture de précision en utilisant l'intelligence artificielle.,Chaker LAFIHaythem KHALIFASalem KHALIFABéchir YAHIA,n.a.,n.a.
undefined,Kartago Dattes Snacks,Agritech,2021,Mar-21,,"Kartago produit des ingrédients biologiques et 100% naturels à base de dattes tels que le sucre, le sirop de dattes et l'huile de noyaux.",fares horchani,n.a.,n.a.
undefined,SF Technologies,Fintech,2019,Jun-19,,"Sobflous est un porte-monnaie électronique (web et mobile) qui offre aux utilisateurs les services de recharge téléphonique, transfert d'argent, paiement marchands et paiement factures.",Mohamed Taher Hammami,n.a.,n.a.
undefined,XQuant Software,Fintech,2019,Feb-21,,XQuant Software conçoit des logiciels de productivité pour les banques utilisant l'intelligence artificielle,Chea Srun,n.a.,n.a.
undefined,LIFEYE,Agritech,2018,Jun-19,,"La vision de Lifeye est de combler les écarts entre les éleveurs, les vétérinaires, les institutions financières, les assureurs, les sociétés pharmaceutiques animales, les organisations gouvernementales et les ONG avec deux solutions, MooMe et VetoMe.",Ahmed Ben AchballahBassem BoujelbenZied ChabchoubTarek BlaiechAMohamed KallelAchraf ChabbouhAhmed Ben SaidRateb Jabbar,n.a.,n.a.
undefined,Swanina,Agritech,2019,Nov-19,,Swanina fournit une plateforme digitale qui garantie la traçabilité des produits agricoles de la ferme à l'assiette et développe des outils modernes de contrôle qualité,Sana Hafsa,n.a.,n.a.
undefined,STE  Kaoun,Fintech,2018,May-19,,Sté Kaoun met en place des produits d'identification et d'automatisation afin de rendre les services financiers plus rapides et plus accessibles à tous.,Nebras JemelAnis KallelRostom Bouazizi,n.a.,n.a.
undefined,Analytix-YS,Fintech,2021,Oct-21,,Analytix est une plateforme de veille stratégique offrant des possibilités d'exploration sur des données d'entreprise traitées et enrichies présentées en format de Dashboard via l’utilisation de la Business Intelligence et la Data Science.,mariam ouanesAhmed BechaInes El AyebAmine Gara,n.a.,n.a.
undefined,Z-Partners,Business Software and services,2021,Nov-21,,Une solution pour la réalisation d'états financiers prévisionnels d'une entreprise et le positionnement de ses indicateurs par rapport à ses comparables du secteur,Maher Zaanouni,maher.zaanouni@capxvalue.com,25264747
undefined,Line Analyzer,Ad Tech and Creative Tech,2024,Apr-24,,null,Ali Ibn ammar,n.a.,n.a.
undefined,Taxiora,Mobility,2019,May-21,,"TAXIORA est un taximètre Android connecté, sous forme d’une tablette intégrant une application, destinée aux propriétaires / chauffeurs de taxi.",Walid SaadaouiKhaled BenlatrachRaouia Magroun,n.a.,n.a.
undefined,TIRA ROBOTS,Advanced Manufacturing & Robotics,2019,Nov-19,,"TIRA ROBOTS conçoit et fabrique des robots munis de 4, 5 et 6 axes destiné à un usage purement industriel",Wassim ben HmidaAzza Attia,n.a.,n.a.
undefined,medtrip,HealthTech,2020,May-21,,Medtrip est une plateforme de facilitation de tourisme médical dédiée aux patients de tout le continent africain souhaitant recevoir des soins médicaux en Tunisie.,Achraf MsakniSabra Gargouri,n.a.,n.a.
undefined,PEAK Technologies SARL,Fintech,2017,May-19,,PEAK Technologies est spécialisée dans le développement des solutions de gestion et de contrôle des opérations transactionnelles basée sur les technologies Blockchain.,Moslem Ben DhaouBilel Methnani,n.a.,n.a.
undefined,Smart City,Business Software and services,2020,Dec-20,,"Une plate-forme destinée aux villes et aux petites communautés, où elle crée un centre de communication entre le propriétaire du service ou du produit et la population des villes avec un guide complet de ville qui cherche à construire une ville virtuelle parallèle, synchronisée et intégrée avec la réalité.",ali boukhachem,n.a.,n.a.
undefined,Randev,Consumer products and services,2023,Aug-23,,"Randev est une application de gestion de rendez-vous innovante et conviviale conçue pour
 simplifier le processus de planification pour les professionnels et les consommateurs finaux.
 L'application cible les coiffeurs, les salons de beauté, les stations de services et les
 formateurs de leçons de conduite.
 Grâce à Randev, les professionnels peuvent facilement créer, customiser et gérer leurs
 propres comptes , qui incluent leurs services, leur disponibilité et leurs tarifs.
 Les consommateurs bénéficient d’un ensemble des services dans un store qui répond
 à leurs besoins avec la possibilité de prise de rendez-vous.
 L'application propose également un calendrier intuitif, une messagerie instantanée et un
 système de notification qui permet aux professionnels et à leurs clients de consulter et de
 gérer leurs rendez-vous.",Mohamed RegaiegYounes RegaiegSafa REKIK,contact@randev.io,21622887863
undefined,Arkan,Commerce and shopping,2021,Dec-22,,"Arkan est une marketplace dédiée à la maison, offrant en one-stop-shop les produits nécessaires à la rénovation  et/ou l’aménagement de la maison.",Hassen MarzoukTarek Marzouk,hassen@arkan.tn,95699509
undefined,istishara,Business Software and services,2021,Dec-21,,"Istishara est une application mobile de consultation directe a voix vive à tout moment dans les domaines juridique, fiscal, et affaires.",Atef Azizi,n.a.,n.a.
undefined,Enova Robotics,Advanced Manufacturing & Robotics,2014,Apr-19,,"Enova Robotics conçoit, fabrique et commercialise des robots mobiles dans le domaine de la sécurité, la santé et la logistique.",Anis SahbaniPhilippe BidaudChristophe Grand,n.a.,n.a.
undefined,Healthy & Bnin,FoodTech & New Food,2020,Mar-21,,"Healthy & Bnin produit des snacks naturels, sains et sans additifs en utilisant des produits du terroir tunisien",Soumaya Atoui,n.a.,n.a.
undefined,SEA DESIGN LAB/OUTA,Environment,2023,Nov-23,,Transformer les déchets plastiques qui polluent nos mers en fibres et fils  pour la production d’un tissu denim innovant et une marque écoresponsable et durable.,Anis MontacerAymen SouissiAsma Benyoussefsami montacer,n.a.,n.a.
undefined,"CC - Colombus Capital, The Infinite Trust",Fintech,2024,May-24,,null,MEZRI KAROUIEymen Errais,n.a.,n.a.
undefined,Cooptatio,Business Software and services,2021,Oct-21,,Une plateforme de recrutement par cooptation qui offre une solution pour les entreprises accessibles en mode SaaS.,Mohamed Ali BriniHayfa Ben Mohamed,n.a.,n.a.
undefined,eDonec,EdTech,2017,Aug-19,,"Oeuvrant dans l'IT, EDonec offre une solution mobile de gestion et de suivi de développement pour les jardins d'enfants et les parents.",Nader ZouariZakaria Hatira,n.a.,n.a.
undefined,Supremcloud,Business Software and services,2021,Sep-21,,"Supremcloud Technologies est une plateforme permettant l'exploitation de ressources peer-to-peer en cloud pour les data scientists, ingénieurs et Startups pour les besoins en développement de solution en machine learning ou des analyses big data.",Khaireddine Mejri,n.a.,n.a.
undefined,FINWEDGE MEA,Fintech,2022,Jun-22,,"Une société innovante développeuse d’une plateforme digitale
 a fait recours à l’intelligence artificielle pour fournir des
 opportunités d'investissement aux entreprises et aux institutions
 financières, proposer différents services et boîtes à outils
 numériques qui permettent aux investisseurs et aux entreprises
 d'élaborer et de suivre leur propre stratégie en ligne et, en
 particulier, aux gestionnaires de fonds de diversifier leur
 portefeuille de private equity dans différents secteurs et
 régions.",Chaouki CharfeddineDelphine MONTI,ccharfeddine@finwedge.com,n.a.
undefined,Replic-A,Business Software and services,2022,Mar-23,,"Replic-A est une plateforme innovante de fort développement technologique désignée spécifiquement pour l'industrie de la construction, la plateforme Replic-A permet :
 - La visualisation et la centralisation des plans 3 Ds (relatif à un projet de construction) en temps réel.
 - L'insertion des commentaires sur le plan 3D en lui-même.
 - L'assignation des tâches à ses collaborateurs.
 - La détection des anomalies de conception avant de passer à la construction.",Mejdi BOUAFIFWissem JERBISonia Issaad,mail@replic-a.com,24757444
undefined,Dyxis Cloud Provider,Business Software and services,2018,Jan-23,,"Cloud Provider: Allocation dynamique des ressources de calcul et de stockage sur le cloud,
 Plan de continuité d'activité sur le cloud,
 Cloudification assistée des systèmes on-premise",Skander Zoghlami,hello@dyxis.com,70938992
undefined,TrustiT,Commerce and shopping,2019,Sep-19,,Trustit est une plateforme Web pour la mise en relation des utilisateurs en besoin de service innovant de réparation de téléphonie mobile et de professionnels de confiance.,Mohamed Amine Ouni,n.a.,n.a.
undefined,Tajrabti,TravelTech,2020,Nov-21,,"Tajrabti est une marketplace qui met en relation des experts, passionnés ou professionnels dans leur domaine avec des participants ou des voyageurs.",akram bouslama,n.a.,n.a.
undefined,Coaching Foot,Ad Tech and Creative Tech,2019,Aug-19,,Coaching Foot est la première plateforme de jeu de Fantasy Football en Afrique et le seul fournisseur de statistiques footballistiques Tunisien.,Ahmed AdalaKheireddine FradjHussein Jenayah,n.a.,n.a.
undefined,Guepard,Business Software and services,2024,Jul-24,,On offre une solution software pour les infrastructures data qui permet de virtualiser les environnements sur demande et automatiser la compliance par IA,Koutheir CherniGhassen MenaouarHani CHALOUATI,contact@guepard.run,20904017
undefined,Marcus studio,Ad Tech and Creative Tech,2021,Aug-21,,"Marcus studio planifie, conçoit et produit des jeux hyper-casuals et créer du contenu visuel pour le jeu et le code pour implémenter toutes les fonctionnalités du jeu.",Azzez MoatezHamza Gassab,n.a.,n.a.
undefined,Viventis,HealthTech,2020,May-20,,Viventis a pour objet la fabrication de dispositifs médicaux essentiels en adaptant leurs designs pour repondre aux besoins spécifiques des marches cibles.,Mehdi Bouzouita Hamed BaltagiChema ZoghlamiHela Kamoun,n.a.,n.a.
undefined,Ahmini,Social Business,2018,Jan-20,,Ahmini est une plateforme qui permet de décentraliser l'affiliation des femmes rurales au système de couverture sociale adéquat tout en leur facilitant le paiement et leur cotisation en le fragmentant et le rapprochant .,Meher KhelifiBorhen kharrat,n.a.,n.a.
undefined,ROAMSMART,Business Software and services,2012,Apr-19,,Roamsmart aide les opérateurs de téléphonie mobile dans la transformation numérique de leur activité roaming a travers des solutions SaaS innovantes.,Walid ChamekhMehdi Triki,n.a.,n.a.
undefined,DEFENDR,Business Software and services,2025,Sep-25,,null,Mottaki HajouniSeifeddine BahrounWael yahiaoui,n.a.,n.a.
undefined,Healthcare Anywhere,HealthTech,2018,May-19,,"PortailWEB + AppliMobile pour particuliers WorldWide, l'objectif est de digitaliser et gérer ses propres données santé (Medical Records) de manière inédite, sécurisée, anywhere Réseau social mondial spécialisé santé.",Fadoua Ben Rejeb OuerdianeImed Elabed,n.a.,n.a.
undefined,Riblum,Environment,2021,Oct-21,,"RIBLUM développe un bois composite durable à partir des déchets de palmier, transformé en mobilier & portes de haute valeur.",Hadded MalekSara Bennour,n.a.,n.a.
undefined,LoDeep,EdTech,2021,Feb-21,,LoDeep est un espace de co-révision en ligne pour les étudiants qui leur permet de trouver un partenaire avec qui ils peuvent étudier et réviser ensemble et en ligne à travers une plateforme.,Ahmed GhribZied Ben Amar,n.a.,n.a.
undefined,JURIDOC,Business Software and services,2021,Nov-21,,Plateforme LegalTech destinée essentiellement aux professionnels du droit afin de leur offrir une expérience 100% digitale et intelligente pour accéder à une documentation juridique complexe.,kais AssaliMohamed Ali BelajouzaMaya BoureghdaAnis Wahabi,n.a.,n.a.
undefined,7keema,HealthTech,2021,Aug-21,,"7keema platform propose des services de soins infirmiers à domicile pour les patients sortant de l'hôpital, les patients souffrant de maladies chroniques ou les personnes âgées.",Amr BakrAwad NursingTamer Shawer,n.a.,n.a.
undefined,EVOCRAFT,EdTech,2018,Sep-19,,EVOCRAFT est une startup technologique qui fabrique des solutions robotiques didactiques moyennant les dernières technologies de fabrications tels que l’impression 3D et le découpage Laser.,Ali Belhaj ZahiHaythem DabbabiImen Hajji,n.a.,n.a.
undefined,Tekum,Business Software and services,2020,Dec-20,,"Tekum offre le CRM Bird Notes pour les industriels pharmaceutiques, pour gérer leurs équipes de délégués ainsi que les tournées médicales d’une façon plus efficace et précise.",Nizar EllouzeGhorbel Amal,n.a.,n.a.
undefined,khallasli,Fintech,2022,Jul-22,,"Khallasli  est  un agrégateur de paiement  offrant une large gamme de produits , services financiers et digitaux accessibles via : TPE/ Web/Mobile/Self-Service Kiosk, permettant aux professionnels et les petits commerces de proximité  d’effectuer tout type d’achat de produit et de paiement de services financiers ou bancaires.",Chakchouk KhatibHoussem Sandli,n.a.,n.a.
undefined,Pixii Motors,Mobility,2021,Feb-23,,Fabrication de la nouvelle Génération de Scooters Premium Electriques Connectés.,Anis FekihWafa Dhifi,contact@pixiimotors.com,21625240437
undefined,Tuni'AR,Ad Tech and Creative Tech,2020,Feb-20,,"Tuni’AR est une entreprise spécialisée dans l'élaboration des solutions digitales en réalité augmentée, réalité virtuelle et la réalité mixte.",Abdelhamid BoukhariSarra KalfetMohamed Karim Sakrani,n.a.,n.a.
undefined,Sala7li,EdTech,2019,Nov-19,,Sala7li est une plateforme de correction d'exercices scientifiques et de dissertations littéraires destinée aux étudiants,Mohamed Aymen Ben Hadj MabroukInes Dhaouadi,n.a.,n.a.
undefined,Tinest,Agritech,2020,Dec-20,,e-mechtel est une plateforme mettant en contact les pépinières avec les agriculteurs et particuliers,Zayneb Ghodhbani,zayneb.ghodhbani@tinest.tn,(+216) 24 655 072
undefined,iCompass,Business Software and services,2019,Sep-19,,ICOMPASS mesure l'opinion perçue sur le digital : Rapports en temps réel fourni par un modèle DeepLearning. Le modèle comprend les dialectes arabes et africains.,Ahmed NouisserMohamed Hatem Haddad,n.a.,n.a.
undefined,Pet Pals,Ad Tech and Creative Tech,2020,Aug-22,,"PlayPals Studio est un éditeur de jeux vidéo. Ses produits se composent principalement de jeux-vidéo cross platform, interactifs et multi-joueurs.",Ahmed SelmiIyed Ben Hadj Dahmen,admin@playpals.io,n.a.
undefined,MedCREtech,Fintech,2018,May-19,,MedCretech propose une application Blockchain pour tracer et fluidifier le cycle de vie des biens immobiliers.,Nacef Bouzguenda,n.a.,n.a.
undefined,Food4Future,HealthTech,2020,May-20,,F4F développe des appareils connectés de production de Spiruline Fraîche chez soi.,Insaf Ayari,n.a.,n.a.
undefined,REBOOTKAMP,EdTech,2019,Nov-19,,"ReBootKamp offre une formation technologique aux standards internationaux qui répond aux demandes du marché, garantissant un emploi dans les secteurs les plus innovants",Lotfi DarragiHugh BoselyTarek ChehidiAymen Ben HassineBilel Labidi,n.a.,n.a.
undefined,Rhintos Games,Ad Tech and Creative Tech,2019,Dec-19,,Rhintos développe un nouveau jeu vidéo GODS DON'T FALL. Une nouvelle prise d'un jeu old school avec caméra top down.,Ayoub Ben ThabetAhmed ChlagouHishem Zarrad,n.a.,n.a.
